object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date
149146,Raft Cup,1300s–1400s,Silver,"hammered silver soldered together, with chased decoration","The figure watching the stars is believed to be the messenger Zhang Qian (died 114 BCE). Legend says he lost his way in the Milky Way, where he met the Weaving Maid who gave him a stone from her loom. Zhang, in fact, holds a slab inscribed loom stone. The vessel is dated, inscribed, and has a seal of the silversmith Zhu Bishan, from Zhejiang province, who ran a workshop in the Lake Tai area near Suzhou. Zhu is one of the few Chinese silversmiths known by name, producing silverware so desirable that his name was used like a trademark by his competitors and followers. Made of pure silver, and shaped like a hollow log, the cup was assembled from several silver pieces that were then soldered together.",Overall: 16 cm (6 5/16 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/1977.7,https://openaccess-cdn.clevelandart.org/1977.7/1977.7_web.jpg,images/cleveland\149146.jpg,John L. Severance Fund,1977.7,2026-05-11
137198,Jar with Lion-Head Handles,1300s,Ceramic,porcelain with underglaze painted decoration,"Appreciated for its strong profile, brilliant blue color, and firm delineation of the decorative patterns, this jar is a classic example of Yuan dynasty blue-and-white ware. This type of ware was produced no later than the 1330s for both domestic use (the court and common people alike) and overseas trade. This example testifies to the transmission of artistic ideas and techniques between China and the rest of the great Mongol Empire as a result of trade. The cobalt that was used for the blue underglaze decoration was imported from Iran, likely from Kashan. The band of cloud-collar motifs with phoenixes set against floral grounds, as shown here, is an artistic vocabulary that can also be found in Iranian decorative arts of the Ilkhanid period (1256–1353).",Diameter of mouth: 15.6 cm (6 1/8 in.); Overall: 39.4 x 37.5 cm (15 1/2 x 14 3/4 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/1962.154,https://openaccess-cdn.clevelandart.org/1962.154/1962.154_web.jpg,images/cleveland\137198.jpg,John L. Severance Fund,1962.154,2026-05-11
130130,Cup with Daoist Figures,1736–95,Jade,Pale greenish-white jade,"During the Qing dynasty, Suzhou’s best products were sent north to the capital. Those that met imperial approval were sometimes graced with Qianlong’s mark, added by calligraphers and jade workers at court. The lack of a Qianlong mark on the Cleveland cup suggests that it might not have reached the court. Previously dated to the Yuan dynasty (1271–1368), new scholarship dates this cup to the Qing period.",Diameter of mouth: 10.3 cm (4 1/16 in.); Overall: 6.5 cm (2 9/16 in.); width with handles: 16 cm (6 5/16 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/1952.510,https://openaccess-cdn.clevelandart.org/1952.510/1952.510_web.jpg,images/cleveland\130130.jpg,Anonymous Gift,1952.510,2026-05-11
147084,Virupa,early 1400s,Sculpture,"Gilt bronze with silver, stones, and pigment","Virupa is one of the great teachers in the history of tantric Buddhism. His posture references his ability to stop the sun; as an enlightened being, he can control phenomena of nature. As a tantric practitioner, he overturns ordinary assumptions about proper behavior, so he overeats, drinks large quantities of liquor, and waits for the king to pay his bill at the tavern. At the edge of the lotus pedestal is an inscription identifying the image as having been made in the imperial kilns of the third emperor of the Ming dynasty in China as a gift to a Tibetan monastic leader. While closely linked to Tibetan styles, the luxurious detailing, special gilding process, and the casting of the ornaments onto the body without use of inlay are specifically Chinese characteristics.",Overall: 43.6 cm (17 3/16 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/1972.96,https://openaccess-cdn.clevelandart.org/1972.96/1972.96_web.jpg,images/cleveland\147084.jpg,"Gift of Mary B. Lee, C. Bingham Blossom, Dudley S. Blossom III, Laurel B. Kovacik, and Elizabeth B. Blossom, in memory of Elizabeth B. Blossom",1972.96,2026-05-11
130939,Amulet in the Form of a Seated Figure with Bovine Head,c. 4700–2920 BCE,Jade,jade (nephrite),"With a bovine head and four horns, this seated figurine was a powerful ritual and shamanic symbol. Drill holes above its shoulders form two interconnected perforations for suspension, suggesting that the jade was originally used as a pendant, presumably by the shaman performing the tasks of journeying to and communicating with the supernatural realms.",14.6 x 6 x 4.1 cm (5 3/4 x 2 3/8 x 1 5/8 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/1953.628,https://openaccess-cdn.clevelandart.org/1953.628/1953.628_web.jpg,images/cleveland\130939.jpg,Gift of Severance A. Millikin,1953.628,2026-05-11
161427,Tomb Guardian with Animal Head,early 700s,Ceramic,"glazed earthenware, sancai (three-color) ware","With their fierce expressions and exaggerated physical features, fantastic guardian creatures were intended to guard the entrance to a tomb, warding off evil as well as keeping the soul of the deceased from wandering. Known as ""earth spirits"" or qitou, this one has an animal face and a pair of antlers growing above its eyebrows; the other sports a human face with huge protruding ears and a short horn surrounded by fiery, twisting hair. Their many elongated spikes heighten the fearful intensity.Before tomb sculptures were placed in the tomb, they were carried through the streets in a funerary procession. Funerary gifts provided the deceased with means for the afterlife. They were also an expression of filial piety and demonstrated the wealth and power of the descendants.",Overall: 92.3 x 43.8 x 41.9 cm (36 5/16 x 17 1/4 x 16 1/2 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2000.118.1,https://openaccess-cdn.clevelandart.org/2000.118.1/2000.118.1_web.jpg,images/cleveland\161427.jpg,Gift of various donors to the department of Asian Art (by exchange),2000.118.1,2026-05-11
93992,Stele with Sakyamuni and Bodhisattvas,537,Sculpture,limestone,"According to the inscription, this stele was commissioned in 537 by Yuan'ning, prince of the Gaoping branch of the imperial Wei family, in memory of his deceased consort, in the hope that it would bring her to the Western paradise. It was carved by one of the finest craftsmen in the Eastern Wei capital of Ye in Hebei province. Here, the Buddha's robe shows a careful arrangement of patterned drapery (large U-shaped folds and scallop-shaped folds at the hem), combining linear rhythms with an ordered symmetry. Soaring flames edge the mandorla (almond-shaped halo), echoing the linear eloquence of Chinese painting.",Overall: 77.5 x 44.4 cm (30 1/2 x 17 1/2 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/1914.567,https://openaccess-cdn.clevelandart.org/1914.567/1914.567_web.jpg,,Gift of the John Huntington Art and Polytechnic Trust,1914.567,2026-05-11
135007,Wine Cup with Children at Play,1465–87,Ceramic,"porcelain with underglaze blue and overglaze enamel decoration, docai (""joined colors"") ware","This delicate wine cup, only two inches high, exhibits free, spontaneous drawing as well as perfect compositional balance over its small surface area. The motifs were outlined with cobalt blue; the piece was then glazed and fired in the normal way for making the blue-and-white ware. After firing, the outline painting was completed with colored enamels over the glaze. The piece was fired the second time. The pictorial decoration is refined and complicated; the porcelain body is of exceptionally high quality and is thin, translucent, and light in weight.",Overall: 4.8 cm (1 7/8 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/1957.61,https://openaccess-cdn.clevelandart.org/1957.61/1957.61_web.jpg,images/cleveland\135007.jpg,John L. Severance Fund,1957.61,2026-05-11
117940,Cranes and Serpents,475–221 BCE,Sculpture,lacquered wood with polychromy,"A different style of ritual art developed in the state of Chu in South China. In addition to bronze vessels, lacquered wood artifacts expanded the repertory of ritual implements. This extraordinary sculpture was probably a drum stand for supporting a suspended drum in ritual ceremonies. It is unique among other excavated drum stands of the Chu, which typically show two birds standing on tigers. The theme of the bird stepping on the serpent was common in the Chu visual culture. Yet the slender proportions and seemingly flimsy structure of this particular set raise the question of whether it was utilitarian or mostly served symbolic functions in the tomb. The birds' and serpents' bodies have designs painted in red lacquer and yellow pigment against the black lacquer. Scientific analyses confirm the additional use of a blue or green pigment that has been discolored over time.",Overall: 132.1 x 124.5 cm (52 x 49 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/1938.9,https://openaccess-cdn.clevelandart.org/1938.9/1938.9_web.jpg,,Purchase from the J. H. Wade Fund,1938.9,2026-05-11
147576,"Mirror with Phoenixes, Birds, Butterflies, and Floral Sprays",700s,Metalwork,bronze with silver and gold inlaid lacquer,"This extremely rare pingtuo mirror is coated with a lacquer base inlaid with paper-thin sheets of silver and gold. The decorative patterns, especially the floral arabesques and the phoenixes and birds holding branches in their mouths, have a pronounced Persian and Central Asian flavor. Luxury items like this had been used by the Tang emperor as diplomatic gifts. A similar example from the Japanese imperial collection of Emperor Shōmu was donated by Empress Kōmyō in 756 to the Shōsō-in repository of the Tōdai-ji Temple, Nara, Japan.",Diameter: 19.2 cm (7 9/16 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/1973.74,https://openaccess-cdn.clevelandart.org/1973.74/1973.74_web.jpg,images/cleveland\147576.jpg,Leonard C. Hanna Jr. Fund,1973.74,2026-05-11
