id,object_id,title,period,type,material,description,museum_id
r1,obj-001,商代青铜鼎,商代,青铜器,青铜,商代晚期青铜祭祀用鼎，造型庄重，纹饰精美,m1
r2,obj-002,唐代三彩骆驼,唐代,陶器,陶器,唐代巩义窑烧制的三彩骆驼，姿态生动,m2
r3,obj-003,宋代青瓷碗,宋代,瓷器,瓷器,南宋龙泉窑青瓷碗，釉色青翠欲滴,m3
r4,obj-004,明代青花瓷瓶,明代,瓷器,瓷器,明代永乐年间青花瓷瓶，绘制缠枝莲纹,m4
r5,obj-005,清代珐琅彩碗,清代,瓷器,瓷器,清代乾隆年间珐琅彩碗，彩绘花鸟纹饰,m5
r6,obj-006,战国玉璧,战国,玉器,玉,战国时期玉璧，玉质温润，雕工精细,m6
r7,obj-007,东汉陶俑,汉代,陶器,陶器,东汉时期彩绘陶俑，造型生动,m1
r8,obj-008,元青花梅瓶,元代,瓷器,瓷器,元代青花人物故事梅瓶,m2
r9,obj-009,西周青铜簋,西周,青铜器,青铜,西周早期青铜簋，器身饰有兽面纹,m3
r10,obj-010,唐代银茶碾,唐代,金银器,银,唐代宫廷御用银茶碾,m4
